species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		JU1632		7.1.2			JU	17.1508	-25.1314	Dry shrubland		rotting fruit, Cucurmis												M.-A. Felix	M.-A. Felix	2009-04-22		Isolated from rotten wild Cucurmis sp. sampled on 22 April 2009 at Boca de Ambas below Caibros (left of the turn 208-210; 17¡090Õ N, 25¡080Õ W) on Santo Antao Island, Cape Verde, by MAF. 1 km from JU1631.	
		JU1633		13.2.1			JU	17.115	-25.05	Agricultural land		rotting fruit, coffee												M.-A. Felix	M.-A. Felix	2009-04-24		Isolated from rotting coffee grains sampled on 24 April 2009 in Valley de Paul around Cha de Fazenda (17¡070Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF. 8-9 km from JU1630-2. Ca. 1 km from JU1633 and 1.5 km from JU1635.	
		JU1634		19.2.3			JU	17.12	-25.049	Agricultural land		rotting stem, banana												M.-A. Felix	M.-A. Felix	2009-04-24		Isolated from rotting banana trunk sampled on 24 April 2009 in Valley de Paul around Cha de Padre (ca. 17¡073Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF. Ca. 1 km from JU1633, 500 m from JU1635.	
		JU1635		20.2.1			JU	17.121	-25.0492	Agricultural land		rotting stem, banana												M.-A. Felix	M.-A. Felix	2009-04-24		Isolated from rotting banana trunk sampled on 24 April 2009 in Valley de Paul around Cha de Padre (17¡075Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF. 500 m down from JU1634.	
		JU1636		21.1.1			JU	17.129	-25.0966	Agricultural land		rotting stem, banana												M.-A. Felix	M.-A. Felix	2009-04-25		Isolated from rotting banana trunk sampled on 25 April 2009 between Corda and Cha de Coelho (17¡080Õ N, 25¡060Õ W) on Santo Antao Island, Cape Verde, by MAF. Valley located ca. 3 km East of JU1630-2, 3 km West of JU1637 and 6 km West of JU1633-5.	
		JU1639		27.2.2			JU	17.149	-25.0696	Agricultural land		rotting stem, banana												M.-A. Felix	M.-A. Felix	2009-04-26		Isolated from rotting banana trunk sampled on 26 April 2009 left of road 204 North of X™x™, Valley de Torre (17¡09Õ N, 25¡040Õ W) on Santo Antao Island, Cape Verde, by MAF. Ca. 1 km North of JU1638.	
		JU1640		29.1.1			JU	15.084	-23.5215	Agricultural land		rotting fruit, tomato												M.-A. Felix	M.-A. Felix	2009-05-01		Isolated from rotting tomato sampled on 1 May 2009 in Ribeira (=Valley) Cumba below Renque de Purga (15¡048Õ N, 23¡313Õ W) on Santiago Island, Cape Verde, by MAF. Ca. 17 km from JU1641.	
		JU1641		39.1.1			JU	14.9174	-23.6049	Rural garden		rotting leaves												M.-A. Felix	M.-A. Felix	2009-05-03		Isolated from rotting banana+mango leaves sampled on 3 May 2009 in Cidade Velha (14¡550Õ N, 23¡363Õ W) on Santiago Island, Cape Verde, by MAF. Ca. 17 km from JU1640.	
		JU1800		R3.1.1.1.2			JU	-21.0471	55.6887	Agricultural land		rotting flower, Etlingeria elatior												I. Nuez	I. Nuez	2009-09-21		Isolated from rotting torch ginger (rose porcelaine - Etlingeria elatior) flowers sampled in the island of La RŽunion (same farm as JU1373) by Isabelle Nuez on 21 Sep 2009.	
		JU1801		R4.1			JU	-21.048	55.69	Agricultural land		rotting fruit, jack												I. Nuez	I. Nuez	2009-09-21		Isolated from rotting jack fruit sampled in the island of La RŽunion (same farm as JU1373) by Isabelle Nuez on 21 Sep 2009.	
