species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		NIC1436		398a			NIC	4.04851396568119	-52.676731981337	Forest		Flower	Astrocaryum pollen stalk, fresh, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1438		366c			NIC	4.08830001018941	-52.6812439598143	Forest		Flower	Astrocaryum pollen, top, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1447		422a			NIC	4.06562101095914	-52.6847190130501	Forest		Flower	Astrocaryum pollen stalk, rel. fresh, Astrocaryum sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-23		Parare-Inselberg trail	
		NIC1453		306			NIC	4.554173984	-52.21073999	Forest		Fruit	Woody fruit covers, incense?											C. Braendle & A. Cutter	C. Braendle	2015-08-14		Piste 1, Kaw mountains	
		NIC1467		456-F5			NIC	4.08665003255009	-52.6804190129041	Forest		Flower	Fresh small yellow/red flowers											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015; was labelled as F456-F4 for ITS2
		NIC1470		469-F1			NIC	4.09010798670351	-52.6829230226576	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015; 2 flowers/bag
		NIC1471		469-F2			NIC	4.09010798670351	-52.6829230226576	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015; 2 flowers/bag
		NIC1472		469-F3			NIC	4.09010798670351	-52.6829230226576	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015; 2 flowers/bag
		NIC1473		469-F4			NIC	4.09010798670351	-52.6829230226576	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015; 2 flowers/bag
		NIC1474		469-F5			NIC	4.09010798670351	-52.6829230226576	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015; 2 flowers/bag
		NIC1475		506-F2			NIC	4.0862420015037	-52.677566986531	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015; 2 flowers/bag
		NIC1476		506-F3			NIC	4.0862420015037	-52.677566986531	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015
		NIC1477		506-F5			NIC	4.0862420015037	-52.677566986531	Forest		Flower	Clusia flowers small, Clusia sp.											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015
		NIC1478		506-O2			NIC	4.0862420015037	-52.677566986531	Forest		Fruit (bait)	Orange bait											C. Braendle & A. Cutter	C. Braendle	2015-08-24		Inselberg station - different sites	FruitSpotSampling2015
		NIC1509		F19			NIC	4.08534999936819	-52.6829429715871	Forest		Flower	Clusia flower, Clusia sp. (likely C. palmicida)											C. Braendle & A. Cutter	C. Braendle	2015-08-19		Petit Plateau Inselberg	In-depth sampling Clusia off-site analysis
		NIC1514		F34			NIC	4.08534999936819	-52.6829429715871	Forest		Flower	Clusia flower, Clusia sp. (likely C. palmicida)											C. Braendle & A. Cutter	C. Braendle	2015-08-19		Petit Plateau Inselberg	In-depth sampling Clusia off-site analysis
		NIC1526		28			NIC	-16.755721	49.99665	Forest		Vegetables	Rotten greens											C. Gimond	C. Gimond	2015-10-31		Forest	seems hermaphrodite
		NIC1531		10			NIC	-16.755873	49.996516	Garden		Compost	Compost, various greens and fruits											C. Gimond	C. Gimond	2015-10-28		Garden	seems hermaphrodite, but quite a few males
		NIC1534		6			NIC	-17.088793	49.827329	Garden		Flowers	Zucchini flower, Cucurbita sp.											C. Gimond	C. Gimond	2015-10-28		Garden	bleached, seems hermaph
		NIC1541		2b			NIC	25.05792	121.77076	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 1st bridge [on or on the side of a stone path]	
		NIC1542		3a			NIC	25.05704	121.77109	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 2nd bridge [on or on the side of a stone path]	
		NIC1543		3b			NIC	25.05704	121.77109	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 2nd bridge [on or on the side of a stone path]	
		NIC1544		4a			NIC	25.05343	121.77265	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 5th bridge [on or on the side of a stone path]	
		NIC1545		5b			NIC	25.05343	121.77265	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 5th bridge [on or on the side of a stone path]	
		NIC1546		5c			NIC	25.05343	121.77265	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 5th bridge [on or on the side of a stone path]	
		NIC1547		5d			NIC	25.05343	121.77265	Forest		Fruit	Figs, Looks like a kind of pepper, Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 5th bridge [on or on the side of a stone path]	
		NIC1548		5e			NIC	25.05343	121.77265	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 5th bridge [on or on the side of a stone path]	
		NIC1549		5f			NIC	25.05343	121.77265	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1),Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 5th bridge [on or on the side of a stone path]	
		NIC1550		5g			NIC	25.05343	121.77265	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-09		[Pingxi District, New Taipei City] On Mt Wufen trail, after the 5th bridge [on or on the side of a stone path]	
		NIC1551		10a			NIC	25.02212	121.73275	Forest		Fruit	Grapefruit variety, Citrus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the wrong trail, in front of a house [on the side of the “road”]	
		NIC1553		10c			NIC	25.02212	121.73275	Forest		Fruit	Grapefruit variety, Citrus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the wrong trail, in front of a house [on the side of the “road”]	
		NIC1555		11b2			NIC	25.02132	121.73295	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, at the beginning [on the gravels of the old rail road]	from same sample as NIC1554
		NIC1556		11c			NIC	25.02132	121.73295	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, at the beginning [on the gravels of the old rail road]	
		NIC1557		13a			NIC	25.01713	121.73247	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, at benches close to a ruined house [on a the tree]	
		NIC1558		13c			NIC	25.01713	121.73247	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, at benches close to a ruined house [on a the tree]	
		NIC1559		14a			NIC	25.01519	121.73311	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, after the two shrines [on a dirt path]	
		NIC1560		14b			NIC	25.01519	121.73311	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, after the two shrines [on a dirt path]	
		NIC1561		15a			NIC	25.00481	121.73369	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, in the valley after the isolated farm [on a dirt path]	
		NIC1563		15c			NIC	25.00481	121.73369	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, in the valley after the isolated farm [on a dirt path]	
		NIC1564		16a			NIC	25.00469	121.7343	Forest		Fruit	Little figs, 8 – 10 mm (same as ID1), Ficus sp.											C. Gosse	C. Braendle	2015-11-10		[Pingxi District, New Taipei City] On the Pingxi to Dongshige trail, in the valley after the isolated farm [on a dirt path]	
		NIC1565		30c			NIC	23.86597	120.90747	Forest		Flower	Red flowers											C. Gosse	C. Braendle	2015-11-12		[Yuchi Township, Nantou County] Beginning of the cycling road [Side of a cycling road]	
		NIC1583		1a			NIC	23.58773	121.34154	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-06-30		[Wanrong Township, Hualien County] After the Fu-Yuan suspension bridge on the creek trail 2 [on or on the side of a stone path]	
		NIC1584		1b			NIC	23.58773	121.34154	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-06-30		[Wanrong Township, Hualien County] After the Fu-Yuan suspension bridge on the creek trail 2 [on or on the side of a stone path]	
		NIC1585		1c			NIC	23.58773	121.34154	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-06-30		[Wanrong Township, Hualien County] After the Fu-Yuan suspension bridge on the creek trail 2 [on or on the side of a stone path]	
		NIC1586		3b			NIC	23.58878	121.33879	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-06-30		[Wanrong Township, Hualien County] Somewhere in between  on the creek trail 2 [on or on the side of a stone path]	
		NIC1587		5a			NIC	23.58801	121.34578	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-06-30		[Wanrong Township, Hualien County] + ~ 700 m after the Long-Yin suspension bridge on the mountain trail 2 [on or on the side of a stone path]	
		NIC1588		5b			NIC	23.58801	121.34578	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-06-30		[Wanrong Township, Hualien County] + ~ 700 m after the Long-Yin suspension bridge on the mountain trail 2 [on or on the side of a stone path]	
		NIC1592		41d			NIC	24.68622	121.13734	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-07-17		[Hengshan Township, Hsinchu County] Down from the museum [on or on the side of a stone path]	
		NIC1594		41f			NIC	24.68622	121.13734	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-07-17		[Hengshan Township, Hsinchu County] Down from the museum [on or on the side of a stone path]	
		NIC1596		42b			NIC	24.6871	121.13633	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-07-17		[Hengshan Township, Hsinchu County] After the first bridge [on or on the side of a dirt path]	
		NIC1597		42c			NIC	24.6871	121.13633	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-07-17		[Hengshan Township, Hsinchu County] After the first bridge [on or on the side of a dirt path]	
		NIC1603		47d			NIC	24.68897	121.13965	Forest		Fruit	Little figs (8-10mm diameter)											C. Gosse	C. Braendle	2016-07-17		[Hengshan Township, Hsinchu County] On the 100 years steps, up towards the road [on or on the side of a stone path]	
		NIC1644		1b			NIC	25.06464	121.82481	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Ruifang District, New Taipei City] After the mountain temple with red pillars, on the trail going to Menghuan falls  [Beside a paved trail]	not bleached
		NIC1645		2a			NIC	25.06549	121.82703	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Ruifang District, New Taipei City] After Menghuan temple, on the trail going to Menghuan falls  [Idem n° 1]	not bleached
		NIC1646		2b			NIC	25.06549	121.82703	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Ruifang District, New Taipei City] After Menghuan temple, on the trail going to Menghuan falls  [Idem n° 1]	not bleached
		NIC1648		3b			NIC	25.06574	121.82753	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Ruifang District, New Taipei City] On the stairs descending to Menghuan falls [On concrete stairs and beside]	not bleached; lots of males
		NIC1649		3c			NIC	25.06574	121.82753	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Ruifang District, New Taipei City] On the stairs descending to Menghuan falls [On concrete stairs and beside]	not bleached
		NIC1653		4b			NIC	25.02814	121.74912	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Pingxi District, New Taipei City] On the stairs descending to Lingjiao falls [Idem n° 3]	not bleached; lots of males
		NIC1654		4c1			NIC	25.02814	121.74912	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Pingxi District, New Taipei City] On the stairs descending to Lingjiao falls [Idem n° 3]	not bleached
		NIC1656		4d			NIC	25.02814	121.74912	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Pingxi District, New Taipei City] On the stairs descending to Lingjiao falls [Idem n° 3]	not bleached
		NIC1657		4e			NIC	25.02814	121.74912	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Pingxi District, New Taipei City] On the stairs descending to Lingjiao falls [Idem n° 3]	not bleached
		NIC1658		5			NIC	25.02814	121.74912	Forest		Fruit	Small Figs (10-15mm diameter)											C. Gosse	C. Braendle	2017-10-17		[Pingxi District, New Taipei City] On a terrace before descending to Lingjiao falls [On a concrete plateforme]	not bleached
		NIC1679		18			NIC	22.08922	120.84876	Forest		Fruit	Small figs (10-15mm dia)											C. Gosse	C. Braendle	2017-06-24		Manzhou Township, Pingtung County] Further on the trail [idem n° 11]	not bleached
		NIC1694		35(o)?			NIC	25.02177	121.58537	Forest		Fruit	Small green fruit											C. Gosse	C. Braendle	2017-07-02		Xinyi District, Taipei City]  After the intersection, down from the Jiuwu Mountain and towards the Thumb Mountain	not bleached
		NIC192		H4b			NIC	16.0459	-61.6262	Forest		Fruit	Philodendron fruits, Philodendron giganteum													2010-09-04		Capesterre Belle Eau, Guadeloupe (3eme Chute du Carbet)	Philodendron giganteum fruit, Capesterre Belle Eau, Guadeloupe (3eme Chute du Carbet). 04/09/2011
		NIC193		I3c1			NIC	16.0207	-61.597	Rural garden		Flower	Torch ginger flower, Etlingera elatior													2011-09-05		Poullet garden, L’Habituee, Capesterre Belle Eau, Guadeloupe	Torch ginger (Etlingera elatior) rotten stems, Poullet garden, L’Habituee, Capesterre Belle Eau, Guadeloupe. 16.0207, -61.597. NP 05/09/2011
		NIC203		G-H1a1			NIC	16.0459	-61.6262	Forest		Flower	Torch ginger, Etlingera elatior											N. Poullet	N. Poullet	2011-09-04		Etlingera elatior flower. "3ème Chute du Carbet, Capesterre Belle Eau", Guadeloupe	Etlingera elatior flower. "3ème Chute du Carbet, Capesterre Belle Eau", Guadeloupe. 4.9.2011. Mating test with JU1620 successful, ITS2 sequencing
		NIC245		2.1			NIC	16.03608	-61.635025	Forest		Flower	Clusia flower, Mangle Montagne											N. Poullet	N. Poullet	2012-09-01		Bassin Paradis, Capesterre Belle Eau, Guadeloupe	Mangle montagne, Bassin Paradis, L’Habituee, Capesterre Belle Eau, Guadeloupe 01/09/2012 NP. ITS2 seq.16.03608, -61.635025
		NIC247		3			NIC	16.03608	-61.635025	Forest		Leaves/Seeds	Diverse leaves and seeds											N. Poullet	N. Poullet	2012-09-01		Bassin Paradis, Capesterre Belle Eau, Guadeloupe	Rotting leaves, Bassin Paradis, L’Habituee, Capesterre Belle Eau, Guadeloupe 01/09/2012 NP. ITS2 seq.16.03608, -61.635025
		NIC249		6			NIC	16.0207	-61.597	Rural garden		Flower	Heliconia flower, Heliconia stems											N. Poullet	N. Poullet	2012-09-08		Poullet garden, Capesterre Belle Eau, Guadeloupe	Heliconia stems, Poullet garden, L’Habituee, Capesterre Belle Eau, Guadeloupe 08/09/2012 NP. ITS2 seq.16.0207, -61.597
		NIC280		3922			NIC	4.08711	-52.67839	Forest		Fruit	Fruit grapes, Cecropia sp.2?										CB728	C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-18		RG trail, river - Nouragues, FG	Pilot. malefemale large plug  picked; several species
		NIC284		480b			NIC	4.07513	-52.6921	Forest		Plant	epiphyte at spring											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Inselberg Parare trail - Nouragues, FG	Parare  trip.  
		NIC286		544			NIC	4.08808	-52.67976	Forest		Flower	flowers rotting at camp											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-23		Inselberg camp - Nouragues, FG	23/04 extra grid and camp.  
		NIC289		436a			NIC	4.09492	-52.68604	Forest		Invertebrate	longicorne beetle large											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-19		Inselberg (CI) trail - Nouragues, FG	Inselbergsp18revisit 194.  
		NIC291		ng0022			NIC	4.092299	-52.675813	Forest		Flower	flowers										AC 1020623	C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		CT1 trail between RD & rock savannah - Nouragues, FG	24/04 extra grid.  
		NIC294		436b			NIC	4.09492	-52.68604	Forest		Fruit	woody fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-19		Inselberg (CI) trail - Nouragues, FG	Inselbergsp18revisit 194.  
		NIC300		551			NIC	4.08969	-52.67731	Forest		Other	Sample notes not found										AC 102 0627	C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		CC trail Rock savanna - Nouragues, FG	24/04 extra grid.  
		NIC311		552a			NIC	4.09125	-52.67489	Forest		Other	Sample notes not found											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		CC trail Rock savanna - Nouragues, FG	24/04 extra grid.  
		NIC312		504a			NIC	4.03892	-52.67656	Forest		Plant	plant stems											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC314		522a			NIC	4.03715	-52.67214	Forest		Flower	purple flowers										ADC 102527	C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Parare East - Nouragues, FG	Parare  trip.  
		NIC321		3691	1		NIC	5.53515	-53.56151	Forest		Fruit	small black fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-15		Sentier sur Sables Blancs - Mana, French Guiana	CBsampling.  
		NIC322		286b			NIC	5.29111	-53.05539	Forest		Fruit	red fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		forest trail - Sentier St. Elie, French Guiana	CBsampling.  
		NIC324		3692			NIC	5.53515	-53.56151	Forest		Fruit	small black fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-15		Sentier sur Sables Blancs - Mana, French Guiana	CBsampling.  
		NIC339		318			NIC	5.41305	-53.65004	Forest		Fruit	small fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2014-04-14		Piste d'Angouleme - Angoulème, French Guiana	CBsampling.  
		NIC344		350a			NIC	5.41063	-53.6564	Rural garden		Fruit	Palm fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2014-04-14		Garden Auberge d'Angouleme - Angoulème, French Guiana	CBsampling.  
		NIC350		415h			NIC	4.0903	-52.6842	Forest		Fruit	fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-19		Inselberg (CI) trail - Nouragues, FG	Inselbergsp18revisit 194.  
		NIC354		446			NIC	4.0881	-52.6753	Forest		Fruit	Fruit grapes, Cecropia sp.2?											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-19		Grand Plateau - Nouragues, FG	Grand Plateau revisit. next to GPS ID 37
		NIC359		421c			NIC	4.0911	-52.68536	Forest		Fruit	small black fruit, grapesize											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-19		Inselberg (CI) trail - Nouragues, FG	Inselbergsp18revisit 194.  
		NIC363		555			NIC	4.95234	-52.49148	Botanical garden zoo		Fruit	fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-25		Zoo - Macouria, French Guiana	CBsampling.  
		NIC365		513b			NIC	4.03617	-52.67805	Forest		Fruit	palm fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC372		531c			NIC	4.03712	-52.67044	Forest		Fruit	woody fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Parare East - Nouragues, FG	Parare  trip.  
		NIC374		534			NIC	4.03776	-52.67285	Forest		Leaf litter/humus	leaf litter+humus Mango tree											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Parare Camp - Nouragues, FG	Parare  trip.  
		NIC375		528c2			NIC	4.03714	-52.67109	Forest		Fruit	eyeball fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Parare East - Nouragues, FG	Parare  trip.  
		NIC378		2861			NIC	5.29111	-53.05539	Forest		Fruit	woody fruits, Simaba morettii										CB 9394	C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		forest trail - Sentier St. Elie, French Guiana	CBsampling.  
		NIC380		501			NIC	4.03946	-52.67566	Forest		Fruit	pink fruit covers, Tetragastris sp. (Burseraceae)											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC382		506			NIC	4.03801	-52.67711	Forest		Fruit	woody fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC383		528c1			NIC	4.03714	-52.67109	Forest		Fruit	eyeball fruit, Paullinia sp. (Sapindaceae)											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Parare East - Nouragues, FG	Parare  trip.  
		NIC384		4861			NIC	4.06126	-52.67946	Forest		Fruit	pink fruit covers, Tetragastris sp. (Burseraceae)											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Inselberg Parare trail - Nouragues, FG	Parare  trip.  
		NIC385		418b			NIC	4.09083	-52.68494	Forest		Fruit	seedlings rotten											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-19		Inselberg (CI) trail - Nouragues, FG	Inselbergsp18revisit 194.  
		NIC386		304b			NIC	5.40907	-53.65188	Forest		Fruit	Woody fruits, Clusia sp.											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		forest trail - Angoulème, French Guiana	CBsampling.  
		NIC387		510			NIC	4.03671	-52.67728	Forest		Fruit	small red fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC389		2862			NIC	5.29111	-53.05539	Forest		Fruit	woody fruits, Simaba morettii										CB 9394	C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		forest trail - Sentier St. Elie, French Guiana	CBsampling.  
		NIC390		515b			NIC	4.03527	-52.67773	Forest		Fruit	yellow fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC391		529			NIC	4.03715	-52.67126	Forest		Fruit	fruit husk, woody											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Parare East - Nouragues, FG	Parare  trip.  
		NIC393		4922			NIC	4.04701	-52.67817	Forest		Fruit	fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Inselberg Parare trail - Nouragues, FG	Parare  trip.  
		NIC396		4962			NIC	4.03893	-52.67352	Forest		Fruit	woody fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC403		2932			NIC	5.41011	-53.65462	Forest		Flower	Heliconia flowers, large, Heliconia sp.											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		Chemin? - Angoulème, French Guiana	CBsampling. only highly prolif pop
		NIC404		2931			NIC	5.41011	-53.65462	Forest		Flower	Heliconia flowers, large, Heliconia sp.											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		Chemin? - Angoulème, French Guiana	CBsampling. only highly prolif pop
		NIC405		2933			NIC	5.41011	-53.65462	Forest		Flower	Heliconia flowers, large, Heliconia sp.											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		Chemin? - Angoulème, French Guiana	CBsampling. only highly prolif pop
		NIC407		313			NIC	5.41418	-53.65416	Forest		Fruit	woody fruits, heart-shaped											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2014-04-14		Piste d'Angouleme - Angoulème, French Guiana	CBsampling.  
